,school_code,school_name,doro_zipcode,doroname,doroname_detail,si,gu
1212,7011495,용산철도고등학교,4388,서울특별시 용산구 서빙고로 24,(한강로3가/ 용산철도고등학교),서울특별시,용산구
1213,7011495,용산철도고등학교,4388,서울특별시 용산구 서빙고로 24,(한강로3가/ 용산철도고등학교),서울특별시,용산구
1214,7011495,용산철도고등학교,4388,서울특별시 용산구 서빙고로 24,(한강로3가/ 용산철도고등학교),서울특별시,용산구
1215,7011495,용산철도고등학교,4388,서울특별시 용산구 서빙고로 24,(한강로3가/ 용산철도고등학교),서울특별시,용산구
1216,7011495,용산철도고등학교,4388,서울특별시 용산구 서빙고로 24,(한강로3가/ 용산철도고등학교),서울특별시,용산구
1217,7011495,용산철도고등학교,4388,서울특별시 용산구 서빙고로 24,(한강로3가/ 용산철도고등학교),서울특별시,용산구
1218,7011495,용산철도고등학교,4388,서울특별시 용산구 서빙고로 24,(한강로3가/ 용산철도고등학교),서울특별시,용산구
1219,7011495,용산철도고등학교,4388,서울특별시 용산구 서빙고로 24,(한강로3가/ 용산철도고등학교),서울특별시,용산구
1220,7011495,용산철도고등학교,4388,서울특별시 용산구 서빙고로 24,(한강로3가/ 용산철도고등학교),서울특별시,용산구
1221,7011495,용산철도고등학교,4388,서울특별시 용산구 서빙고로 24,(한강로3가/ 용산철도고등학교),서울특별시,용산구
1222,7011495,용산철도고등학교,4388,서울특별시 용산구 서빙고로 24,(한강로3가/ 용산철도고등학교),서울특별시,용산구
1223,7011495,용산철도고등학교,4388,서울특별시 용산구 서빙고로 24,(한강로3가/ 용산철도고등학교),서울특별시,용산구
1224,7011495,용산철도고등학교,4388,서울특별시 용산구 서빙고로 24,(한강로3가/ 용산철도고등학교),서울특별시,용산구
1225,7011495,용산철도고등학교,4388,서울특별시 용산구 서빙고로 24,(한강로3가/ 용산철도고등학교),서울특별시,용산구
1226,7011495,용산철도고등학교,4388,서울특별시 용산구 서빙고로 24,(한강로3가/ 용산철도고등학교),서울특별시,용산구
1227,7011495,용산철도고등학교,4388,서울특별시 용산구 서빙고로 24,(한강로3가/ 용산철도고등학교),서울특별시,용산구
1228,7011495,용산철도고등학교,4388,서울특별시 용산구 서빙고로 24,(한강로3가/ 용산철도고등학교),서울특별시,용산구
1229,7011494,서울동산고등학교,1832,서울특별시 노원구 공릉로 257,(공릉동),서울특별시,노원구
1230,7011494,서울동산고등학교,1832,서울특별시 노원구 공릉로 257,(공릉동),서울특별시,노원구
1231,7011494,서울동산고등학교,1832,서울특별시 노원구 공릉로 257,(공릉동),서울특별시,노원구
1232,7011494,서울동산고등학교,1832,서울특별시 노원구 공릉로 257,(공릉동),서울특별시,노원구
1233,7011494,서울동산고등학교,1832,서울특별시 노원구 공릉로 257,(공릉동),서울특별시,노원구
1234,7011494,서울동산고등학교,1832,서울특별시 노원구 공릉로 257,(공릉동),서울특별시,노원구
1235,7011494,서울동산고등학교,1832,서울특별시 노원구 공릉로 257,(공릉동),서울특별시,노원구
1236,7011494,서울동산고등학교,1832,서울특별시 노원구 공릉로 257,(공릉동),서울특별시,노원구
1237,7011494,서울동산고등학교,1832,서울특별시 노원구 공릉로 257,(공릉동),서울특별시,노원구
1238,7011494,서울동산고등학교,1832,서울특별시 노원구 공릉로 257,(공릉동),서울특별시,노원구
1239,7011494,서울동산고등학교,1832,서울특별시 노원구 공릉로 257,(공릉동),서울특별시,노원구
1240,7011494,서울동산고등학교,1832,서울특별시 노원구 공릉로 257,(공릉동),서울특별시,노원구
1241,7011494,서울동산고등학교,1832,서울특별시 노원구 공릉로 257,(공릉동),서울특별시,노원구
1242,7011494,서울동산고등학교,1832,서울특별시 노원구 공릉로 257,(공릉동),서울특별시,노원구
1243,7011494,서울동산고등학교,1832,서울특별시 노원구 공릉로 257,(공릉동),서울특별시,노원구
1244,7011494,서울동산고등학교,1832,서울특별시 노원구 공릉로 257,(공릉동),서울특별시,노원구
1245,7011494,서울동산고등학교,1832,서울특별시 노원구 공릉로 257,(공릉동),서울특별시,노원구
1246,7011494,서울동산고등학교,1832,서울특별시 노원구 공릉로 257,(공릉동),서울특별시,노원구
1247,7011494,서울동산고등학교,1832,서울특별시 노원구 공릉로 257,(공릉동),서울특별시,노원구
1248,7011494,서울동산고등학교,1832,서울특별시 노원구 공릉로 257,(공릉동),서울특별시,노원구
1249,7011494,서울동산고등학교,1832,서울특별시 노원구 공릉로 257,(공릉동),서울특별시,노원구
1250,7011493,인덕과학기술고등학교,1878,서울특별시 노원구 초안산로 12,/ 인덕과학기술고등학교 (월계동/ 인덕대학교/인덕공업고등학교),서울특별시,노원구
1251,7011493,인덕과학기술고등학교,1878,서울특별시 노원구 초안산로 12,/ 인덕과학기술고등학교 (월계동/ 인덕대학교/인덕공업고등학교),서울특별시,노원구
1252,7011493,인덕과학기술고등학교,1878,서울특별시 노원구 초안산로 12,/ 인덕과학기술고등학교 (월계동/ 인덕대학교/인덕공업고등학교),서울특별시,노원구
1253,7011493,인덕과학기술고등학교,1878,서울특별시 노원구 초안산로 12,/ 인덕과학기술고등학교 (월계동/ 인덕대학교/인덕공업고등학교),서울특별시,노원구
1254,7011493,인덕과학기술고등학교,1878,서울특별시 노원구 초안산로 12,/ 인덕과학기술고등학교 (월계동/ 인덕대학교/인덕공업고등학교),서울특별시,노원구
