,school_code,school_name,doro_zipcode,doroname,doroname_detail,si,gu
1349,7011487,고명외식고등학교,2828,서울특별시 성북구 북악산로 870,(돈암동),서울특별시,성북구
1350,7011487,고명외식고등학교,2828,서울특별시 성북구 북악산로 870,(돈암동),서울특별시,성북구
1351,7011487,고명외식고등학교,2828,서울특별시 성북구 북악산로 870,(돈암동),서울특별시,성북구
1352,7011487,고명외식고등학교,2828,서울특별시 성북구 북악산로 870,(돈암동),서울특별시,성북구
1353,7011487,고명외식고등학교,2828,서울특별시 성북구 북악산로 870,(돈암동),서울특별시,성북구
1354,7011487,고명외식고등학교,2828,서울특별시 성북구 북악산로 870,(돈암동),서울특별시,성북구
1355,7011487,고명외식고등학교,2828,서울특별시 성북구 북악산로 870,(돈암동),서울특별시,성북구
1356,7011487,고명외식고등학교,2828,서울특별시 성북구 북악산로 870,(돈암동),서울특별시,성북구
1357,7011487,고명외식고등학교,2828,서울특별시 성북구 북악산로 870,(돈암동),서울특별시,성북구
1358,7011487,고명외식고등학교,2828,서울특별시 성북구 북악산로 870,(돈암동),서울특별시,성북구
1359,7011487,고명외식고등학교,2828,서울특별시 성북구 북악산로 870,(돈암동),서울특별시,성북구
1360,7011487,고명외식고등학교,2828,서울특별시 성북구 북악산로 870,(돈암동),서울특별시,성북구
1361,7011487,고명외식고등학교,2828,서울특별시 성북구 북악산로 870,(돈암동),서울특별시,성북구
1362,7011487,고명외식고등학교,2828,서울특별시 성북구 북악산로 870,(돈암동),서울특별시,성북구
1363,7011487,고명외식고등학교,2828,서울특별시 성북구 북악산로 870,(돈암동),서울특별시,성북구
1364,7011486,서울의료보건고등학교,4502,서울특별시 중구 만리재로37길 30,(만리동1가),서울특별시,중구
1365,7011486,서울의료보건고등학교,4502,서울특별시 중구 만리재로37길 30,(만리동1가),서울특별시,중구
1366,7011486,서울의료보건고등학교,4502,서울특별시 중구 만리재로37길 30,(만리동1가),서울특별시,중구
1367,7011486,서울의료보건고등학교,4502,서울특별시 중구 만리재로37길 30,(만리동1가),서울특별시,중구
1368,7011486,서울의료보건고등학교,4502,서울특별시 중구 만리재로37길 30,(만리동1가),서울특별시,중구
1369,7011486,서울의료보건고등학교,4502,서울특별시 중구 만리재로37길 30,(만리동1가),서울특별시,중구
1370,7011486,서울의료보건고등학교,4502,서울특별시 중구 만리재로37길 30,(만리동1가),서울특별시,중구
1371,7011486,서울의료보건고등학교,4502,서울특별시 중구 만리재로37길 30,(만리동1가),서울특별시,중구
1372,7011486,서울의료보건고등학교,4502,서울특별시 중구 만리재로37길 30,(만리동1가),서울특별시,중구
1373,7011486,서울의료보건고등학교,4502,서울특별시 중구 만리재로37길 30,(만리동1가),서울특별시,중구
1374,7011486,서울의료보건고등학교,4502,서울특별시 중구 만리재로37길 30,(만리동1가),서울특별시,중구
1375,7011485,서울서진학교,7527,서울특별시 강서구 양천로55길 22,(가양동),서울특별시,강서구
1376,7011484,서울도솔학교,1301,서울특별시 도봉구 평화로15번길 9-26,(도봉동/ 서울도솔학교),서울특별시,도봉구
1377,7011483,서울나래학교,6793,서울특별시 서초구 염곡안1길 25,(염곡동/ 서울나래학교),서울특별시,서초구
1378,7011482,영락의료과학고등학교,8831,서울특별시 관악구 청룡16길 25,(봉천동/ 서울영락고등학교/ 영락의료과학고등학교),서울특별시,관악구
1379,7011482,영락의료과학고등학교,8831,서울특별시 관악구 청룡16길 25,(봉천동/ 서울영락고등학교/ 영락의료과학고등학교),서울특별시,관악구
1380,7011482,영락의료과학고등학교,8831,서울특별시 관악구 청룡16길 25,(봉천동/ 서울영락고등학교/ 영락의료과학고등학교),서울특별시,관악구
1381,7011482,영락의료과학고등학교,8831,서울특별시 관악구 청룡16길 25,(봉천동/ 서울영락고등학교/ 영락의료과학고등학교),서울특별시,관악구
1382,7011482,영락의료과학고등학교,8831,서울특별시 관악구 청룡16길 25,(봉천동/ 서울영락고등학교/ 영락의료과학고등학교),서울특별시,관악구
1383,7011482,영락의료과학고등학교,8831,서울특별시 관악구 청룡16길 25,(봉천동/ 서울영락고등학교/ 영락의료과학고등학교),서울특별시,관악구
1384,7011482,영락의료과학고등학교,8831,서울특별시 관악구 청룡16길 25,(봉천동/ 서울영락고등학교/ 영락의료과학고등학교),서울특별시,관악구
1385,7011482,영락의료과학고등학교,8831,서울특별시 관악구 청룡16길 25,(봉천동/ 서울영락고등학교/ 영락의료과학고등학교),서울특별시,관악구
1386,7011482,영락의료과학고등학교,8831,서울특별시 관악구 청룡16길 25,(봉천동/ 서울영락고등학교/ 영락의료과학고등학교),서울특별시,관악구
1387,7011482,영락의료과학고등학교,8831,서울특별시 관악구 청룡16길 25,(봉천동/ 서울영락고등학교/ 영락의료과학고등학교),서울특별시,관악구
1388,7011482,영락의료과학고등학교,8831,서울특별시 관악구 청룡16길 25,(봉천동/ 서울영락고등학교/ 영락의료과학고등학교),서울특별시,관악구
1389,7011482,영락의료과학고등학교,8831,서울특별시 관악구 청룡16길 25,(봉천동/ 서울영락고등학교/ 영락의료과학고등학교),서울특별시,관악구
1390,7011482,영락의료과학고등학교,8831,서울특별시 관악구 청룡16길 25,(봉천동/ 서울영락고등학교/ 영락의료과학고등학교),서울특별시,관악구
1391,7011482,영락의료과학고등학교,8831,서울특별시 관악구 청룡16길 25,(봉천동/ 서울영락고등학교/ 영락의료과학고등학교),서울특별시,관악구
1392,7011482,영락의료과학고등학교,8831,서울특별시 관악구 청룡16길 25,(봉천동/ 서울영락고등학교/ 영락의료과학고등학교),서울특별시,관악구
1393,7011482,영락의료과학고등학교,8831,서울특별시 관악구 청룡16길 25,(봉천동/ 서울영락고등학교/ 영락의료과학고등학교),서울특별시,관악구
1394,7011482,영락의료과학고등학교,8831,서울특별시 관악구 청룡16길 25,(봉천동/ 서울영락고등학교/ 영락의료과학고등학교),서울특별시,관악구
1395,7011469,덜위치칼리지서울영국학교,6504,서울특별시 서초구 신반포로15길 6,(반포동),서울특별시,서초구
1396,7011468,서울새롬학교,8709,서울특별시 관악구 보라매로 44,/ 서울새롬학교 (봉천동/ 삼육외래센터),서울특별시,관악구
1397,7011462,서울효정학교,1109,서울특별시 강북구 삼양로63길 33,(미아동),서울특별시,강북구
1398,7011457,풍문고등학교,6373,서울특별시 강남구 자곡로 152,(자곡동),서울특별시,강남구
1399,7011457,풍문고등학교,6373,서울특별시 강남구 자곡로 152,(자곡동),서울특별시,강남구
1400,7011457,풍문고등학교,6373,서울특별시 강남구 자곡로 152,(자곡동),서울특별시,강남구
1401,7011457,풍문고등학교,6373,서울특별시 강남구 자곡로 152,(자곡동),서울특별시,강남구
1402,7011320,서울다솜관광고등학교,3114,서울특별시 종로구 종로58길 30,(숭인동),서울특별시,종로구
1403,7011320,서울다솜관광고등학교,3114,서울특별시 종로구 종로58길 30,(숭인동),서울특별시,종로구
1404,7011320,서울다솜관광고등학교,3114,서울특별시 종로구 종로58길 30,(숭인동),서울특별시,종로구
1405,7011320,서울다솜관광고등학교,3114,서울특별시 종로구 종로58길 30,(숭인동),서울특별시,종로구
1406,7011319,금호고등학교,4727,서울특별시 성동구 금호로 118,(금호동1가),서울특별시,성동구
1407,7011319,금호고등학교,4727,서울특별시 성동구 금호로 118,(금호동1가),서울특별시,성동구
1408,7011318,도선고등학교,4701,서울특별시 성동구 마장로 156,(하왕십리동),서울특별시,성동구
1409,7011318,도선고등학교,4701,서울특별시 성동구 마장로 156,(하왕십리동),서울특별시,성동구
1410,7011317,금천문화예술정보학교,8548,서울특별시 금천구 남부순환로126길 25,/ 금천문화예술정보학교 (독산동),서울특별시,금천구
1411,7011317,금천문화예술정보학교,8548,서울특별시 금천구 남부순환로126길 25,/ 금천문화예술정보학교 (독산동),서울특별시,금천구
1412,7011317,금천문화예술정보학교,8548,서울특별시 금천구 남부순환로126길 25,/ 금천문화예술정보학교 (독산동),서울특별시,금천구
1413,7011317,금천문화예술정보학교,8548,서울특별시 금천구 남부순환로126길 25,/ 금천문화예술정보학교 (독산동),서울특별시,금천구
1414,7011317,금천문화예술정보학교,8548,서울특별시 금천구 남부순환로126길 25,/ 금천문화예술정보학교 (독산동),서울특별시,금천구
1415,7011317,금천문화예술정보학교,8548,서울특별시 금천구 남부순환로126길 25,/ 금천문화예술정보학교 (독산동),서울특별시,금천구
1416,7011317,금천문화예술정보학교,8548,서울특별시 금천구 남부순환로126길 25,/ 금천문화예술정보학교 (독산동),서울특별시,금천구
1417,7011317,금천문화예술정보학교,8548,서울특별시 금천구 남부순환로126길 25,/ 금천문화예술정보학교 (독산동),서울특별시,금천구
1418,7011317,금천문화예술정보학교,8548,서울특별시 금천구 남부순환로126길 25,/ 금천문화예술정보학교 (독산동),서울특별시,금천구
1419,7011317,금천문화예술정보학교,8548,서울특별시 금천구 남부순환로126길 25,/ 금천문화예술정보학교 (독산동),서울특별시,금천구
1420,7011317,금천문화예술정보학교,8548,서울특별시 금천구 남부순환로126길 25,/ 금천문화예술정보학교 (독산동),서울특별시,금천구
1421,7011317,금천문화예술정보학교,8548,서울특별시 금천구 남부순환로126길 25,/ 금천문화예술정보학교 (독산동),서울특별시,금천구
1422,7011317,금천문화예술정보학교,8548,서울특별시 금천구 남부순환로126길 25,/ 금천문화예술정보학교 (독산동),서울특별시,금천구
1423,7011317,금천문화예술정보학교,8548,서울특별시 금천구 남부순환로126길 25,/ 금천문화예술정보학교 (독산동),서울특별시,금천구
1424,7011317,금천문화예술정보학교,8548,서울특별시 금천구 남부순환로126길 25,/ 금천문화예술정보학교 (독산동),서울특별시,금천구
1425,7011317,금천문화예술정보학교,8548,서울특별시 금천구 남부순환로126길 25,/ 금천문화예술정보학교 (독산동),서울특별시,금천구
1426,7011317,금천문화예술정보학교,8548,서울특별시 금천구 남부순환로126길 25,/ 금천문화예술정보학교 (독산동),서울특별시,금천구
1427,7011317,금천문화예술정보학교,8548,서울특별시 금천구 남부순환로126길 25,/ 금천문화예술정보학교 (독산동),서울특별시,금천구
1428,7011317,금천문화예술정보학교,8548,서울특별시 금천구 남부순환로126길 25,/ 금천문화예술정보학교 (독산동),서울특별시,금천구
1429,7011317,금천문화예술정보학교,8548,서울특별시 금천구 남부순환로126길 25,/ 금천문화예술정보학교 (독산동),서울특별시,금천구
1430,7011317,금천문화예술정보학교,8548,서울특별시 금천구 남부순환로126길 25,/ 금천문화예술정보학교 (독산동),서울특별시,금천구
1431,7011317,금천문화예술정보학교,8548,서울특별시 금천구 남부순환로126길 25,/ 금천문화예술정보학교 (독산동),서울특별시,금천구
1432,7011317,금천문화예술정보학교,8548,서울특별시 금천구 남부순환로126길 25,/ 금천문화예술정보학교 (독산동),서울특별시,금천구
1433,7011316,신진과학기술고등학교,3453,서울특별시 은평구 은평로6길 16,(응암동/학교법인신진학원),서울특별시,은평구
1434,7011316,신진과학기술고등학교,3453,서울특별시 은평구 은평로6길 16,(응암동/학교법인신진학원),서울특별시,은평구
1435,7011316,신진과학기술고등학교,3453,서울특별시 은평구 은평로6길 16,(응암동/학교법인신진학원),서울특별시,은평구
1436,7011316,신진과학기술고등학교,3453,서울특별시 은평구 은평로6길 16,(응암동/학교법인신진학원),서울특별시,은평구
1437,7011316,신진과학기술고등학교,3453,서울특별시 은평구 은평로6길 16,(응암동/학교법인신진학원),서울특별시,은평구
1438,7011316,신진과학기술고등학교,3453,서울특별시 은평구 은평로6길 16,(응암동/학교법인신진학원),서울특별시,은평구
1439,7011316,신진과학기술고등학교,3453,서울특별시 은평구 은평로6길 16,(응암동/학교법인신진학원),서울특별시,은평구
1440,7011316,신진과학기술고등학교,3453,서울특별시 은평구 은평로6길 16,(응암동/학교법인신진학원),서울특별시,은평구
1441,7011316,신진과학기술고등학교,3453,서울특별시 은평구 은평로6길 16,(응암동/학교법인신진학원),서울특별시,은평구
1442,7011316,신진과학기술고등학교,3453,서울특별시 은평구 은평로6길 16,(응암동/학교법인신진학원),서울특별시,은평구
1443,7011316,신진과학기술고등학교,3453,서울특별시 은평구 은평로6길 16,(응암동/학교법인신진학원),서울특별시,은평구
1444,7011316,신진과학기술고등학교,3453,서울특별시 은평구 은평로6길 16,(응암동/학교법인신진학원),서울특별시,은평구
1445,7011316,신진과학기술고등학교,3453,서울특별시 은평구 은평로6길 16,(응암동/학교법인신진학원),서울특별시,은평구
1446,7011316,신진과학기술고등학교,3453,서울특별시 은평구 은평로6길 16,(응암동/학교법인신진학원),서울특별시,은평구
1447,7011316,신진과학기술고등학교,3453,서울특별시 은평구 은평로6길 16,(응암동/학교법인신진학원),서울특별시,은평구
1448,7011316,신진과학기술고등학교,3453,서울특별시 은평구 은평로6길 16,(응암동/학교법인신진학원),서울특별시,은평구
1449,7011316,신진과학기술고등학교,3453,서울특별시 은평구 은평로6길 16,(응암동/학교법인신진학원),서울특별시,은평구
